City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ponta Do Sol,PT,71.01,clear sky,32.67,-17.1,Hotel do Campo
1,Sao Filipe,CV,77.23,few clouds,14.9,-24.5,Tortuga B&B
2,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
3,Dholka,IN,82.4,haze,22.72,72.47,jalalpur godhaneshwer
5,Sechura,PE,66.47,clear sky,-5.56,-80.82,Hospedaje Costa Bella
7,Palm Coast,US,87.8,clear sky,29.59,-81.21,Hammock Beach Golf Resort & Spa
11,Ayia Galini,GR,86.0,clear sky,35.1,24.68,Sunningdale Bungalows
13,Bethel,US,82.4,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
14,Rikitea,PF,74.1,clear sky,-23.12,-134.97,Pension Maro'i
15,Kapaa,US,82.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
17,Awbari,LY,84.69,clear sky,26.59,12.78,فندق أوباري
18,Butaritari,KI,83.43,light rain,3.07,172.79,Isles Sunset Lodge
22,Bengkulu,ID,74.66,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
27,Chapais,CA,78.8,scattered clouds,49.78,-74.85,Hôtel Opémiska
30,Hithadhoo,MV,82.62,few clouds,-0.6,73.08,Scoop Guest House
33,Natal,BR,75.2,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
37,Cap Malheureux,MU,68.0,light rain,-19.98,57.61,Pereybere Hotel & Spa
38,Porto Recanati,IT,82.0,overcast clouds,43.44,13.66,Hotel Il Brigantino
39,San Policarpo,PH,81.3,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
46,Jalu,LY,78.64,clear sky,29.03,21.55,Jalu Hotel
48,Vilyuysk,RU,69.17,clear sky,63.76,121.62,Gostinitsa Viliuisk
49,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
50,Hami,CN,77.14,few clouds,42.8,93.45,Laoyutang Resort
54,Kiunga,PG,73.69,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
57,Santa Cruz De La Palma,ES,73.4,broken clouds,28.68,-17.76,H10 Taburiente Playa
58,Yellowknife,CA,78.8,broken clouds,62.46,-114.35,The Explorer Hotel
60,Pangkalanbuun,ID,77.18,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
62,Paita,PE,65.28,clear sky,-5.09,-81.11,Hotel Náutico de Paita
66,Atuona,PF,79.68,light rain,-9.8,-139.03,Villa Enata
67,Gat,IL,75.0,clear sky,31.61,34.76,רגע בנחת
68,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
69,Marica,BR,69.8,broken clouds,-22.92,-42.82,Marica Hills
70,Nouadhibou,MR,73.4,clear sky,20.93,-17.03,El Medina
76,Salinopolis,BR,79.72,overcast clouds,-0.61,-47.36,Hotel Salinópolis
79,Jamestown,US,69.8,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
86,Katsuura,JP,81.0,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
87,Praia Da Vitoria,PT,73.4,few clouds,38.73,-27.07,Hotel Branco I
89,Port Hardy,CA,77.0,broken clouds,50.7,-127.42,Airport Inn
90,Olinda,BR,77.0,shower rain,-8.01,-34.86,Hotel 5 Sóis
91,Carman,CA,75.99,clear sky,49.5,-98.0,"Bell Aura Bed, Breakfast & Bistro"
92,Osmena,PH,82.98,overcast clouds,10.52,119.93,Arjemarkyza Lodge
93,Samarai,PG,77.49,clear sky,-10.62,150.67,Nuli Sapi
99,Puerto Ayora,EC,69.01,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
100,Marrakesh,MA,89.6,scattered clouds,31.63,-8.01,Les Jardins de La Koutoubia
102,Coari,BR,79.0,overcast clouds,-4.08,-63.14,HOTEL ALEX FLAT
103,Jiangyou,CN,75.65,light rain,31.77,104.72,Shangping Shuyuan Inn
106,Praia,CV,80.6,few clouds,14.92,-23.51,LT Aparthotel
108,Surab,PK,74.61,clear sky,28.49,66.26,Bismillah Hotel
109,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
112,Smithers,CA,75.2,scattered clouds,54.78,-127.17,Prestige Hudson Bay Lodge
113,Saint-Georges,GD,84.2,few clouds,12.06,-61.75,Siesta Hotel
114,Faanui,PF,78.66,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,California,US,84.2,scattered clouds,38.3,-76.51,"Country Inn & Suites by Radisson, Lexington Park (Patuxent River Naval Air Station), MD"
119,Gudalur,IN,74.75,overcast clouds,9.68,77.27,Hotel Lemurian Heritage
120,Cumra,TR,73.4,clear sky,37.57,32.77,Catalhoyuk Hotel
121,Kamyaran,IR,71.6,clear sky,34.8,46.94,نانوایی سنگکی خداداد مرادی
122,Thompson,CA,71.6,few clouds,55.74,-97.86,Burntwood Hotel
123,Kapit,MY,77.65,overcast clouds,2.02,112.93,Hotel Meligai Kapit
126,Victoria,HK,80.01,light rain,22.29,114.16,Mini Hotel Central
127,Mariel,CU,87.01,clear sky,22.99,-82.75,Casa de Alojamiento Marilda y Jesus
128,Avarua,CK,71.6,broken clouds,-21.21,-159.78,Paradise Inn
129,Chute-Aux-Outardes,CA,71.6,clear sky,49.12,-68.4,Camp St-Paul Gite Plein-Air
131,Roma,US,82.4,clear sky,43.21,-75.46,Wingate By Wyndham Rome
132,Norman Wells,CA,87.8,few clouds,65.28,-126.83,Heritage Hotel
140,Bingol,TR,69.85,scattered clouds,38.88,40.49,Bingol Police House
141,Lahaina,US,89.6,few clouds,20.88,-156.68,Lahaina Shores Beach Resort
145,Hun,LY,76.32,clear sky,29.13,15.95,Alrwasi Hotel
146,Haines Junction,CA,65.68,light rain,60.75,-137.51,Parkside Inn
148,Ribeira Grande,PT,71.69,clear sky,38.52,-28.7,Quinta da Meia Eira
150,Saint-Philippe,RE,68.0,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
151,Mount Isa,AU,71.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
153,Camacha,PT,69.8,broken clouds,33.08,-16.33,Hotel Porto Santo & Spa
159,Athni,IN,74.12,overcast clouds,16.73,75.07,Basawasri Lodge
160,Acarau,BR,78.37,few clouds,-2.89,-40.12,castelo pizzaria
161,San Michele Al Tagliamento,IT,79.0,broken clouds,45.76,12.99,Hotel Ristorante Pizzeria Cigno
162,Vanimo,PG,76.91,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
163,Quelimane,MZ,66.2,scattered clouds,-17.88,36.89,Hotel Flamingo
165,Paracuru,BR,79.0,broken clouds,-3.41,-39.03,Hotel Vento Brasil
166,Auki,SB,85.96,few clouds,-8.77,160.7,Auki Motel
167,San Quintin,MX,77.4,clear sky,30.48,-115.95,Old Mill Hotel
169,Eureka,US,69.01,scattered clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
170,Riberalta,BO,78.58,clear sky,-10.98,-66.1,Hotel Colonial
173,Pontes E Lacerda,BR,77.68,clear sky,-15.23,-59.34,Hotel Bressan
174,Rantauprapat,ID,72.82,overcast clouds,2.1,99.83,Permata Land Hotel & Resort
176,Bambous Virieux,MU,71.6,shower rain,-20.34,57.76,Casa Tia Villa
177,Mitsamiouli,KM,76.42,clear sky,-11.38,43.28,Foyer ADM
179,Lakshettipet,IN,79.81,broken clouds,18.87,79.22,Nagula's Residency
180,Sao Gabriel Da Cachoeira,BR,77.32,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
183,Vila Franca Do Campo,PT,69.8,scattered clouds,37.72,-25.43,Pestana Bahia Praia
186,Linhares,BR,66.6,light rain,-19.39,-40.07,Hotel Conceição
188,Porto Empedocle,IT,81.0,clear sky,37.29,13.53,Hotel dei Pini
192,Broome,US,79.0,clear sky,42.25,-75.83,Chenango Valley State Park
197,Yecla,ES,82.0,few clouds,38.61,-1.11,Hotel Avenida
198,Hamilton,US,75.2,heavy intensity rain,39.18,-84.53,Six Acres Bed & Breakfast
199,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
200,Alappuzha,IN,78.12,light rain,9.49,76.33,Panoramic Sea Resort
206,Ca Mau,VN,79.14,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
207,Mersin,TR,80.6,scattered clouds,36.86,34.65,Nostalgia Boutique Hotel
208,Aklavik,CA,66.2,scattered clouds,68.22,-135.01,Aklavik Inn
209,Vao,NC,66.33,few clouds,-22.67,167.48,Hotel Kou-Bugny
210,Yueyang,CN,84.63,overcast clouds,29.33,113.09,Delong Fortune Hotel
211,Tuxtla,MX,84.2,broken clouds,16.75,-93.12,"Hotel del Carmen en Tuxtla Gutierrez, en el Centro de Tuxtla"
214,Acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
217,Stepnogorsk,KZ,68.11,clear sky,52.35,71.89,Gostinitsa Stepnogorsk
219,Quatre Cocos,MU,71.6,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
220,Russell,US,89.6,scattered clouds,32.35,-85.2,Macs
