City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Do Sol,PT,32.67,-17.1,71.01,40,1,3.56,clear sky
1,Sao Filipe,CV,14.9,-24.5,77.23,83,11,5.57,few clouds
2,Souillac,MU,-20.52,57.52,71.6,78,75,14.99,shower rain
3,Dholka,IN,22.72,72.47,82.4,83,40,6.93,haze
4,Saint-Augustin,CA,51.23,-58.65,54.7,94,100,2.89,overcast clouds
5,Sechura,PE,-5.56,-80.82,66.47,72,4,14.72,clear sky
6,Stornoway,GB,58.21,-6.39,54.0,91,90,7.56,light rain
7,Palm Coast,US,29.59,-81.21,87.8,55,1,8.05,clear sky
8,Airai,TL,-8.93,125.41,63.3,50,0,4.0,clear sky
9,Castro,BR,-24.79,-50.01,53.11,85,0,3.24,clear sky
10,Cape Town,ZA,-33.93,18.42,53.01,87,0,2.24,clear sky
11,Ayia Galini,GR,35.1,24.68,86.0,46,0,3.0,clear sky
12,Dikson,RU,73.51,80.55,49.33,91,91,17.69,overcast clouds
13,Bethel,US,41.37,-73.41,82.4,54,1,5.82,clear sky
14,Rikitea,PF,-23.12,-134.97,74.1,76,8,7.29,clear sky
15,Kapaa,US,22.08,-159.32,82.4,69,20,14.99,light rain
16,Gali,GE,42.63,41.74,67.23,91,29,4.72,moderate rain
17,Awbari,LY,26.59,12.78,84.69,14,0,10.58,clear sky
18,Butaritari,KI,3.07,172.79,83.43,80,5,17.02,light rain
19,Port Alfred,ZA,-33.59,26.89,58.66,76,0,12.66,clear sky
20,Arraial Do Cabo,BR,-22.97,-42.03,64.4,88,40,2.24,scattered clouds
21,Barrow,US,71.29,-156.79,37.4,72,20,10.29,few clouds
22,Bengkulu,ID,-3.8,102.27,74.66,84,100,3.89,overcast clouds
23,Albany,US,42.6,-73.97,82.99,53,76,1.1,broken clouds
24,Ushuaia,AR,-54.8,-68.3,39.2,86,75,5.82,broken clouds
25,Longyearbyen,SJ,78.22,15.64,50.0,81,28,1.12,scattered clouds
26,Tuktoyaktuk,CA,69.45,-133.04,53.6,93,90,23.04,shower rain
27,Chapais,CA,49.78,-74.85,78.8,54,40,2.24,scattered clouds
28,Punta Arenas,CL,-53.15,-70.92,35.6,93,90,9.17,overcast clouds
29,Nikolskoye,RU,59.7,30.79,55.0,87,24,4.47,fog
30,Hithadhoo,MV,-0.6,73.08,82.62,74,16,11.54,few clouds
31,Flinders,AU,-34.58,150.86,57.0,72,63,8.99,broken clouds
32,Pangnirtung,CA,66.15,-65.71,46.47,80,100,2.04,overcast clouds
33,Natal,BR,-5.79,-35.21,75.2,88,20,8.05,few clouds
34,Mataura,NZ,-46.19,168.86,55.49,74,100,1.68,overcast clouds
35,Busselton,AU,-33.65,115.33,52.0,89,89,1.7,overcast clouds
36,Srednekolymsk,RU,67.45,153.68,58.37,54,85,5.93,overcast clouds
37,Cap Malheureux,MU,-19.98,57.61,68.0,86,38,5.99,light rain
38,Porto Recanati,IT,43.44,13.66,82.0,74,92,2.24,overcast clouds
39,San Policarpo,PH,12.18,125.51,81.3,75,100,2.62,overcast clouds
40,Salym,RU,60.06,71.48,57.49,92,82,4.43,broken clouds
41,Vestmannaeyjar,IS,63.44,-20.27,52.29,93,100,15.12,overcast clouds
42,New Norfolk,AU,-42.78,147.06,52.0,70,33,4.0,scattered clouds
43,Vardo,NO,70.37,31.11,48.87,86,97,11.86,overcast clouds
44,Saldanha,ZA,-33.01,17.94,48.2,76,0,3.36,clear sky
45,Adrar,MR,20.5,-10.07,98.46,12,4,6.69,clear sky
46,Jalu,LY,29.03,21.55,78.64,66,0,14.12,clear sky
47,Cidreira,BR,-30.18,-50.21,59.29,74,0,8.48,clear sky
48,Vilyuysk,RU,63.76,121.62,69.17,49,0,5.08,clear sky
49,Hilo,US,19.73,-155.09,82.4,65,75,9.17,broken clouds
50,Hami,CN,42.8,93.45,77.14,17,22,5.48,few clouds
51,Pevek,RU,69.7,170.31,37.04,92,99,5.3,overcast clouds
52,Esperance,AU,-33.87,121.9,46.4,87,100,12.75,overcast clouds
53,Pervomayskoye,RU,43.92,46.71,73.4,68,72,12.41,broken clouds
54,Kiunga,PG,-6.12,141.29,73.69,81,100,3.58,overcast clouds
55,Ghanzi,BW,-21.57,21.78,53.02,39,0,7.99,clear sky
